종목코드,종목명,대분류,중분류,소분류
123330,제닉,제조,화학,화장품
123410,코리아에프티,제조,운송장비·부품,자동차부품
123420,위메이드플레이,서비스,IT서비스,소프트웨어
123570,이엠넷,일반서비스,미디어/엔터,광고/마케팅
123690,한국화장품,유통,생활소비재,화장품
123700,SJM,제조,운송장비·부품,자동차부품
123750,알톤,제조,운송장비·부품,그외 기타 운송장비
123840,뉴온,제조,음식료·담배,기타 식품
123860,아나패스,제조,전기·전자,반도체
123890,한국자산신탁,금융,금융,신탁 및 집합투자
124500,아이티센글로벌,서비스,IT서비스,소프트웨어
124560,태웅로직스,운송·창고,운송·창고,기타 운송관련 서비스
125020,티씨머티리얼즈,제조,전기·전자,절연선 및 케이블
125210,아모그린텍,제조,전기·전자,전자부품
125490,한라캐스트,제조,운송장비·부품,자동차부품
126340,비나텍,제조,전기·전자,이차전지
126560,현대퓨처넷,통신,통신,미디어/통신
126600,BGF에코머티리얼즈,제조,화학,화학
126640,화신정공,제조,운송장비·부품,자동차부품
126700,하이비젼시스템,제조,의료·정밀기기,전자부품
126720,수산인더스트리,건설,건설,건물설비 설치 공사
126730,코칩,제조,전기·전자,전자부품
126880,제이엔케이글로벌,제조,기계·장비,일반 목적용 기계
127120,제이에스링크,일반서비스,건강관리,바이오
127710,아시아경제,서비스,IT서비스,인터넷서비스
127980,화인써키트,제조,전기·전자,전자부품
128540,에코캡,제조,운송장비·부품,자동차부품
128660,피제이메탈,제조,금속,비철금속
128820,대성산업,유통,유통,연료 소매
128940,한미약품,제조,제약,제약
129260,인터지스,운송·창고,운송·창고,도로 화물 운송
129890,앱코,제조,전기·전자,가전/전자제품
129920,대성하이텍,제조,기계·장비,특수 목적용 기계
130500,GH신소재,제조,섬유·의류,섬유/의류
130580,나이스디앤비,일반서비스,일반서비스,기타 사지원 서비스
130660,한전산업,일반서비스,일반서비스,"건축기술, 엔지니어링 및 관련 기술 서비스"
130740,티피씨글로벌,제조,운송장비·부품,자동차부품
131030,옵투스제약,제조,제약,제약
131090,시큐브,서비스,IT서비스,소프트웨어
131100,티엔엔터테인먼트,오락·문화,미디어/엔터,미디어/콘텐츠
131180,딜리,제조,전기·전자,컴퓨터 및 주변장치
131220,대한과학,유통,유통,기계장비 및 관련 물품 도매
131290,티에스이,제조,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기; 광학기기 제외"
131370,알서포트,서비스,IT서비스,소프트웨어
131400,이브이첨단소재,제조,전기·전자,전자부품
131760,파인텍,제조,기계·장비,디스플레이
131970,두산테스나,일반서비스,전기·전자,반도체
133750,메가엠디,일반서비스,일반서비스,일반 교습 학원
133820,화인베스틸,제조,금속,철강
134060,이퓨쳐,오락·문화,오락·문화,"서적, 잡지 및 기타 인쇄물 출판"
134380,미원화학,제조,화학,기타 화학제품
134580,탑코미디어,서비스,IT서비스,인터넷서비스
134790,시디즈,제조,제조,가구
136150,원일티엔아이,제조,기계·장비,일반 목적용 기계
136410,아셈스,제조,화학,플라스틱제품
136480,하림,제조,음식료·담배,"도축, 육류 가공 및 저장 처리"
136490,선진,제조,음식료·담배,동물용 사료 및 조제식품
136540,윈스테크넷,서비스,IT서비스,소프트웨어
137080,나래나노텍,제조,기계·장비,디스플레이
137310,에스디바이오센서,제조,의료·정밀기기,의료기기
137400,피엔티,제조,기계·장비,이차전지
137940,넥스트아이,제조,의료·정밀기기,디스플레이
137950,제이씨케미칼,제조,화학,기타 화학제품
138040,메리츠금융지주,금융,금융,기타 금융
138070,신진에스엠,제조,금속,금속가공
138080,오이솔루션,제조,전기·전자,통신장비
138360,앤로보틱스,제조,기계·장비,특수 목적용 기계
138490,코오롱ENP,제조,화학,화학
138610,나이벡,제조,제약,의료용품 및 기타 의약 관련제품
138930,BNK금융지주,금융,금융,은행
139050,BF랩스,서비스,IT서비스,소프트웨어
139130,iM금융지주,금융,금융,은행
139480,이마트,유통,유통,유통
139670,키네마스터,서비스,IT서비스,소프트웨어
139990,아주스틸,제조,금속,철강
140070,서플러스글로벌,유통,전기·전자,반도체
140410,메지온,일반서비스,건강관리,바이오
140430,카티스,서비스,IT서비스,소프트웨어
140520,대창스틸,제조,금속,철강
140670,알에스오토메이션,제조,전기·전자,전자부품
140860,파크시스템스,제조,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기; 광학기기 제외"
141000,비아트론,제조,기계·장비,반도체
141080,리가켐바이오,일반서비스,건강관리,바이오
142210,유니트론텍,유통,전기·전자,반도체
142280,녹십자엠에스,제조,제약,의료용품 및 기타 의약 관련제품
142760,모아라이프플러스,일반서비스,건강관리,바이오
143160,아이디스,제조,전기·전자,통신장비
143210,핸즈코퍼레이션,제조,운송장비·부품,자동차부품
143240,사람인,서비스,IT서비스,인터넷서비스
143540,영우디에스피,제조,기계·장비,디스플레이
144510,지씨셀,일반서비스,건강관리,바이오
144960,뉴파워프라즈마,제조,기계·장비,특수 목적용 기계
145020,휴젤,제조,제약,바이오
145170,노브랜드,제조,섬유·의류,섬유/의류
145210,다이나믹디자인,제조,기계·장비,특수 목적용 기계
145720,덴티움,제조,의료·정밀기기,의료기기
145990,삼양사,제조,음식료·담배,기타 식품
146060,율촌,제조,금속,철강
146320,비씨엔씨,제조,전기·전자,반도체
147760,피엠티,제조,의료·정밀기기,반도체
147830,제룡산업,제조,금속,"구조용 금속제품, 탱크 및 증기발생기"
148150,세경하이테크,제조,전기·전자,전자부품
148250,알엔투테크놀로지,제조,전기·전자,전자부품
148780,비큐AI,서비스,IT서비스,소프트웨어
148930,에이치와이티씨,제조,금속,금속가공
149950,아바텍,제조,전기·전자,전자부품
149980,하이로닉,제조,의료·정밀기기,의료기기
150900,파수,서비스,IT서비스,소프트웨어
151860,KG에코솔루션,제조,운송장비·부품,자동차 차체나 트레일러
153460,네이블,서비스,IT서비스,소프트웨어
153490,우리이앤엘,제조,전기·전자,반도체
153710,옵티팜,제조,제약,의료용품 및 기타 의약 관련제품
154030,아시아종묘,기타,기타,작물 재배
154040,다산솔루에타,제조,전기·전자,전자부품
155650,와이엠씨,제조,전기·전자,전자부품
155660,DSR,제조,금속,비철금속
156100,엘앤케이바이오,제조,의료·정밀기기,의료기기
158430,아톤,서비스,IT서비스,소프트웨어
159010,아스플로,제조,기계·장비,일반 목적용 기계
159580,제로투세븐,유통,유통,생활용품 도매
159910,에코글로우,제조,화학,화장품
160190,하이젠알앤엠,제조,전기·전자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치"
160550,NEW,오락·문화,미디어/엔터,미디어/콘텐츠
160980,싸이맥스,제조,기계·장비,반도체
161000,애경케미칼,제조,화학,화학
161390,한국타이어앤테크놀로지,제조,화학,자동차
161580,필옵틱스,제조,기계·장비,반도체
161890,한국콜마,제조,화학,제약
162300,신스틸,제조,금속,철강
163280,에어레인,제조,기계·장비,일반 목적용 기계
163560,동일고무벨트,제조,화학,고무제품
163730,핑거,서비스,IT서비스,소프트웨어
166090,하나머티리얼즈,제조,전기·전자,반도체
166480,코아스템켐온,제조,제약,제약
168330,내츄럴엔도텍,일반서비스,건강관리,바이오
168360,펨트론,제조,기계·장비,특수 목적용 기계
169330,엠브레인,일반서비스,일반서비스,시장조사 및 여론조사
170030,현대공업,제조,운송장비·부품,자동차부품
170790,파이오링크,제조,전기·전자,통신장비
170900,동아에스티,제조,제약,제약
170920,엘티씨,제조,화학,화학
171010,램테크놀러지,제조,화학,화학
171090,선익시스템,제조,기계·장비,디스플레이
171120,라이온켐텍,제조,화학,건설
172670,에이엘티,제조,전기·전자,반도체
173130,오파스넷,서비스,IT서비스,소프트웨어
173940,에프엔씨엔터,오락·문화,오락·문화,창작 및 예술관련 서비스
174900,앱클론,제조,제약,바이오
175140,휴먼테크놀로지,제조,전기·전자,통신장비
175250,아이큐어,제조,제약,제약
175330,JB금융지주,금융,금융,은행
